id;name;city;country;iata;icao;tz
6285;Fond du Lac County Airport;Fond du Lac;United States;FLD;KFLD;America/Chicago
6286;Waupaca Municipal Airport;Waupaca;United States;NULL;KPCZ;America/Chicago
6287;Stevens Point Municipal Airport;Stevens Point;United States;STE;KSTE;America/Chicago
6288;Mys Shmidta Airport;Mys Shmidta;Russia;NULL;UHMI;Asia/Anadyr
6289;Moma Airport;Honuu;Russia;MQJ;UEMA;Asia/Srednekolymsk
6290;Luce County Airport;Newberry;United States;NULL;KERY;America/New_York
6291;Peenemünde Airport;Peenemunde;Germany;PEF;EDCP;Europe/Berlin
6292;Góraszka Airport;Goraszka;Poland;NULL;EPGO;Europe/Warsaw
6293;Nusawiru Airport;Nusawiru;Indonesia;CJN;WI1A;Asia/Jakarta
6294;Galion Municipal Airport;Galion;United States;GQQ;KGQQ;America/New_York
6295;Tiputini Airport;Tiputini;Ecuador;TPN;SETI;America/Guayaquil
6296;Rio Amazonas Airport;Pastaza;Ecuador;PTZ;SESM;America/Guayaquil
6297;Clarksville–Montgomery County Regional Airport;Clarksville;United States;CKV;KCKV;America/Chicago
6298;Lompoc Airport;Lompoc;United States;LPC;KLPC;America/Los_Angeles
6299;Chester County G O Carlson Airport;Coatesville;United States;CTH;KMQS;America/New_York
6300;Bost Airport;Lashkar Gah;Afghanistan;BST;OABT;Asia/Kabul
6301;Lankaran International Airport;Lankaran;Azerbaijan;LLK;UBBL;Asia/Baku
6302;Gabala International Airport;Qabala;Azerbaijan;GBB;UBBQ;Asia/Baku
6303;Zaqatala International Airport;Zaqatala;Azerbaijan;ZTU;UBBY;Asia/Baku
6304;Lake Placid Airport;Lake Placid;United States;LKP;KLKP;America/New_York
6305;Typliy Klyuch Airport;Khandyga;Russia;KDY;UEMH;Asia/Yakutsk
6306;Magan Airport;Yakutsk;Russia;GYG;UEMM;Asia/Yakutsk
6307;Qianjiang Wulingshan Airport;Qianjiang;China;JIQ;ZUQJ;Asia/Shanghai
6308;Cooma Hospital Helipad;Yuzhno-Kurilsk;Russia;NULL;YXCM;Australia/Sydney
6309;Lima Allen County Airport;Lima;United States;AOH;KAOH;America/New_York
